gene_set,AUROC,within_AUROC
random_553,0.8677106070671602,0.8391433738890169
random_554,0.8947834614532916,0.8647193628565941
random_555,0.8748473632596249,0.8501695851192822
random_556,0.8955173831893961,0.8717228434413117
random_557,0.8705134288696973,0.8392175276949667
random_558,0.8767074752459587,0.8423057444242856
random_559,0.8564487045648667,0.8264695940435416
random_560,0.8712916389864288,0.8331466926724407
random_561,0.8245610705134289,0.776704299552309
random_562,0.8776628388851981,0.8441283626411431
random_563,0.850779791844611,0.8140978848473023
random_564,0.857574894815096,0.8188130094292746
random_565,0.8803834108379994,0.8516779838347038
random_566,0.8671664926766,0.8300766606776818
random_567,0.8809654866976685,0.8565713686908755
random_568,0.8600360633956534,0.8295263253361517
random_569,0.848071873714846,0.8100061157033277
random_570,0.8742209990193287,0.8358604217917308
random_571,0.8446743222296036,0.8012726048578419
random_572,0.887248109835184,0.8551753616045612
random_573,0.9012748726709057,0.869341781575779
random_574,0.8745563253297902,0.8271949200397054
random_575,0.8705071019581792,0.8405046349829542
random_576,0.8786435101705102,0.8420151424040947
random_577,0.8562335895732498,0.8232780145670974
random_578,0.8390433709784568,0.806111957020244
random_579,0.8690519123090064,0.8355565825546889
random_580,0.8958590364113758,0.8554368725902751
random_581,0.8756761886685015,0.8324959467641893
random_582,0.8940432128056689,0.846766219249793
random_583,0.8557717250324254,0.8094802141133632
random_584,0.8783841067982664,0.8420463784252245
random_585,0.8600423903071716,0.8173202377946513
random_586,0.8833697130745627,0.8451609471432621
random_587,0.8683812596880832,0.8228260309696855
random_588,0.8640220176520831,0.8272627023836668
random_589,0.8959476131726298,0.8577595029586034
random_590,0.8797760273322578,0.8486811896093424
random_591,0.8439530543165353,0.8116729710199306
random_592,0.8844389611211287,0.8648883448332326
random_593,0.8373287779570403,0.7999081194891701
random_594,0.881560216380374,0.8585006147488108
random_595,0.8945050773464933,0.859852184878078
random_596,0.8891272025560722,0.860387645923832
random_597,0.8729429628926639,0.8417730723074058
random_598,0.8589668153490874,0.8298962282124649
random_599,0.8505267153838854,0.8196646444945516
random_600,0.8620416943469046,0.8256120772835368
random_601,0.8894878365126063,0.8587644294344225
random_602,0.9036221568441365,0.8758138280576149
random_603,0.848514757521116,0.8073535525887161
random_604,0.8774793584511721,0.8568901321068092
random_605,0.873259308468571,0.8368806896518354
random_606,0.8618708677359147,0.8305626510846303
random_607,0.8804466799531808,0.8455679722737172
random_608,0.8407895985574642,0.8044310436781856
random_609,0.9080636487298726,0.8831745638352869
random_610,0.8649710543798045,0.8334811330522884
random_611,0.873879345797349,0.839960231219268
random_612,0.8979342633893265,0.8743304798316158
random_613,0.8938660592831609,0.8550083024033606
random_614,0.8532599411597229,0.8243009534493777
random_615,0.8569105691056911,0.8203092275498468
random_616,0.8606624276359495,0.8309010549220525
random_617,0.8717092151466261,0.8211432175309403
random_618,0.8518300591566227,0.8239510900594795
random_619,0.8746638828255987,0.8329225080116166
random_620,0.8643510170510266,0.8284366471170583
random_621,0.8497801398247445,0.8186603030139402
random_622,0.8761190724747714,0.8474256902030466
random_623,0.8555376293062541,0.8187903170611505
random_624,0.872677232608902,0.8336515208327396
random_625,0.8722723102717409,0.8388431126468048
random_626,0.8562842048653949,0.834710275931581
random_627,0.8604789472019234,0.8195241096101683
random_628,0.8588972193223878,0.8243660693094479
random_629,0.8646547088038974,0.8237706077111469
random_630,0.851045522128373,0.814079818019441
random_631,0.8597323716427826,0.8148480436599582
random_632,0.8960551706684382,0.8530878312735434
random_633,0.8730948087690994,0.8339177707271302
random_634,0.8342538989592231,0.7867140703328788
random_635,0.8121033817342065,0.7786883628316853
random_636,0.8686343361488089,0.8366623549430898
