,fold0,fold1,fold2,fold3,fold4
WRN,0.00022498325265116748,7.567750942711892e-05,0.0014665779413107316,0.0002690247851538263,-0.0019275250578257852
BLM,0.002737717557541397,0.0007358985399460227,0.002794848710220332,0.002622991655249729,0.002467232074016934
DCLRE1B,0.02450547922696771,0.02575905846740003,0.024605628840959758,0.016325818906464097,0.0246132099717296
PIF1,0.003036009959932806,-0.00019049855821291485,0.0008376717422788893,0.0043816166396811514,0.0022641994345926177
RECQL4,0.00040952007785939327,-0.0010803616863036547,0.004762463955324136,0.001975339394694231,0.004772552043176548
ATRX,0.07206036629295857,0.03904437572578649,0.034263644785428135,0.060836965998256345,0.046314572089437143
DAXX,0.00021992744922081365,0.0003783875471353948,0.0017223157317884264,-0.0018981193174741674,-0.0003443844769982052
H3-3A,0.003569397221836068,0.002025025769496791,-0.0017249253010790833,0.003407647278615045,0.0040221022873296874
SMARCAL1,-0.0008291517625794275,0.00010960191020474852,-0.0016649052073955505,0.000859384730352497,0.0005397070161911932
FANCM,-0.000803872745427614,-0.0005871530903823752,-0.00014613588027299063,-0.0004857391954166346,-0.0004934464148034223
SLX4,-0.0015369642428302078,-0.0022103051891284808,0.001299565506713085,-0.003275625856271014,-0.00020817270624520212
MUS81,0.02088299606911288,0.0027896295716392404,0.015837476024582096,0.002613027774318111,0.005050115651503461
BRCA1,0.0008999330106046032,-6.523923226466887e-05,0.00021920382040943042,-5.7292315356805014e-05,0.001382677974813662
BRCA2,-0.0019414285172591806,-0.0008663770044753605,0.0010881903941754255,-0.00018433179723498228,1.799023387301091e-05
RAD51,-0.00012386718404382434,0.0008507195887319296,0.000688926292715375,-0.0001619130651388634,0.00015677203803647898
RAD52,-0.0004904129327451435,0.002142456387573288,0.003066243916441591,0.001992776186324585,0.0032845026985350413
POLD3,-2.5279017151769168e-05,0.0009785884839707659,-0.002085045863180324,-0.0013376510150703736,-0.0019352351580570915
TOP3A,0.013638029753403247,0.008582873396745927,0.014702313383176069,-0.001786025656993373,0.007581598560781266
