,fold0,fold1,fold2,fold3,fold4
SMC6,0.0,0.002055660974067042,-0.0026796973518284696,-0.0009142496847414971,0.0027100271002709953
NSMCE2,0.004111321948134084,-0.004617330803289054,-0.00012610340479191073,-0.00031525851197986563,0.0009883628248047005
MYC,0.012871600253004423,0.02261227071473748,0.028121059268600267,0.009836065573770458,0.02687709230033477
MAX,0.004395951929158759,-0.0012650221378874393,0.0005359394703657206,-0.0038461538461538767,0.002008608321377325
GABPA,0.006293485135989885,0.006736242884250477,-0.003058007566204246,0.0005989911727616093,-0.0005738880918221056
GABPB1,-0.008602150537634422,0.00015812776723591603,0.001513240857503173,0.0001891551071878661,-0.001115893511876309
SP1,0.0013282732447817748,-0.0004111321948134128,0.001702395964691039,-0.0007881462799495864,0.0004463574047505192
TNKS,0.0513282732447818,0.054079696394686884,0.022698612862547308,0.020775535939470346,0.02171209947393591
TNKS2,0.015370018975332078,0.03475648323845668,0.04981084489281214,0.019451450189155083,0.02894946596524788
PINX1,0.0006641366223908874,-0.000411132194813435,-0.0005674653215636649,-0.0005359394703657206,0.00022317870237527072
HNRNPA1,0.005850727387729316,0.0,0.012767969735182882,0.0013240857503152182,0.012976247409532914
G3BP1,0.0012966476913345959,0.0014864010120176907,0.00034678436317783225,-0.0015762925598991507,-0.0006376534353578656
ZNF451,-0.010468058191018348,0.006767868437697655,0.005359394703657006,0.002049180327868805,0.005196875498166742
SENP3,0.010531309297912728,0.01714104996837442,-0.0005989911727616537,0.002395964691046659,0.0037940379403794246
